scenario,algorithm,runs,successes,successRate,successCIlo,successCIhi,meanLength,stdLength,medianLength,lenCIlo,lenCIhi,meanTime,stdTime,timeCIlo,timeCIhi,meanFirstSol,firstCIlo,firstCIhi,meanMinClear,meanTurnSum,meanNodes,meanPre,meanOpt,meanEscapes,meanFlips,fallbackRate,deltaLength,pLength,deltaTime,pTime,deltaFirst,pFirst
狭窄,PRM*,50,50,100,100,100,225.333179540351,5.43699023899896,223.276114526067,223.951049562593,226.890088138236,0.327935458,0.0335335552589056,0.31918515465,0.3375488166,0.012078426,0.0079187962,0.01688909535,0.28784522502508,4.20068054833163,2002,NaN,NaN,NaN,NaN,0,1,0.000249937515621095,1,0.000249937515621095,-0.2552,0.297425643589103
狭窄,FMT*,50,50,100,100,100,247.37981195982,10.8962710076751,248.116493446613,244.44385693372,250.423487014499,0.476574034,0.200923921076223,0.421859279,0.5309290468,0.020591698,0.01687232105,0.02481493445,0.50353750662718,7.4522565248211,2002,NaN,NaN,NaN,NaN,0,1,0.000249937515621095,1,0.000249937515621095,0.5608,0.000249937515621095
狭窄,BIT*,50,25,50,36,64,235.47457147828,8.26353104215194,238.415157226253,232.162993687913,238.539344626394,1.123559092,0.322063321077264,0.9929951484,1.2425414792,0.051001772,0.044841347,0.0577480452,0.405638810145121,4.51675367118852,1409.08,NaN,NaN,NaN,NaN,0,1,0.000249937515621095,1,0.000249937515621095,1,0.000249937515621095
狭窄,RRT#,50,50,100,100,100,225.473956942129,13.013976524127,221.406685691059,222.088586290461,229.134635016706,0.090680868,0.0280123092356203,0.0827628206,0.0982537648,0.014869746,0.01338452315,0.0165220537,0.15099406123679,5.03145927166358,1199,NaN,NaN,NaN,NaN,0,0.96,0.000249937515621095,0.7688,0.000249937515621095,0.6896,0.000249937515621095
狭窄,APF-only,50,50,100,100,100,279.791130115633,0,279.791130115633,279.791130115633,279.791130115633,0.008850932,0.00180955039668388,0.00839320205,0.0093802598,0.008725582,0.00828081575,0.0092512507,0.0632608111899984,46.4502175583217,NaN,NaN,NaN,3,5,0,1,0.000249937515621095,-1,0.000249937515621095,-0.3248,0.0169957510622344
狭窄,AB-IRRT*,50,50,100,100,100,212.885243942151,2.87102621016462e-14,212.885243942151,212.885243942151,212.885243942151,0.047358008,0.0204094994935166,0.0418699086,0.05313816735,0.00956271,0.00900068075,0.0102039713,0.316946328405102,2.34656541775505,585.94,0.00956271,0.037637862,3,5,0,0,1,0,1,0,1
广阔,RRT*,50,50,100,100,100,228.807452407721,16.5233377760695,222.43306221755,224.438891934908,233.535258963715,0.07439922,0.00824945455552508,0.07227094395,0.0767989164,0.006343042,0.0056649685,0.00708856425,0.484678805104055,5.71930810807465,1749.76,NaN,NaN,NaN,NaN,0,0.936,0.000249937515621095,-0.2912,0.0109972506873282,0.9728,0.000249937515621095
广阔,Informed-RRT*,50,50,100,100,100,214.907606054501,9.32722790041447,211.384270664891,212.608793975854,217.742377366867,0.104321494,0.0129052705910068,0.1008696054,0.1079718524,0.006430974,0.00576870105,0.0071753244,0.38683876119298,4.30016199680698,1507.7,NaN,NaN,NaN,NaN,0,0.284,0.000999750062484379,0.8984,0.000249937515621095,0.9696,0.000249937515621095
广阔,PRM*,50,50,100,100,100,215.198317810247,4.39383749535805,213.862260763004,214.040248716408,216.466052433635,0.341548972,0.0402392935436883,0.3311529916,0.3534690115,0.000438484,0.000306159,0.00065198065,0.654066735242738,2.55708057177677,2002,NaN,NaN,NaN,NaN,0,0.7568,0.000249937515621095,1,0.000249937515621095,-0.9608,0.000249937515621095
广阔,FMT*,50,50,100,100,100,216.484599008414,4.35567009974286,216.07039914125,215.340856045266,217.740278487743,0.065035092,0.0286971507739282,0.0573568445,0.0730622762,0.005731082,0.0050866966,0.0064761053,0.245278357226944,2.06776235639223,2002,NaN,NaN,NaN,NaN,0,0.84,0.000249937515621095,-0.452,0.00174956260934766,0.9432,0.000249937515621095
广阔,BIT*,50,50,100,100,100,209.471375352296,1.15696850927888,209.048931628119,209.187679086622,209.814478821833,24.065812916,5.19634741353712,22.65537889525,25.5658424427,0.021794704,0.0196328276,0.02454805355,0.145200857477974,0.814172657970322,1387.22,NaN,NaN,NaN,NaN,0,-0.7128,0.000249937515621095,1,0.000249937515621095,1,0.000249937515621095
广阔,RRT#,50,50,100,100,100,227.901765953277,15.773038485058,221.972835671539,223.685314769689,232.400979999912,0.08292707,0.00988379635815559,0.08037894415,0.08572302495,0.00654041,0.00587135125,0.0072611886,0.419884779490174,5.27994912662923,1749.76,NaN,NaN,NaN,NaN,0,0.928,0.000249937515621095,0.2648,0.000499875031242189,0.976,0.000249937515621095
广阔,APF-only,50,50,100,100,100,301.840641895898,5.74205242032923e-14,301.840641895898,301.840641895898,301.840641895898,0.002079948,0.000467560379267988,0.0019526573,0.00221162255,0.001974886,0.00185582355,0.0021009229,0.127432159127466,53.671042473467,NaN,NaN,NaN,1,8,0,1,0.000249937515621095,-1,0.000249937515621095,-0.6008,0.000249937515621095
广阔,AB-IRRT*,50,50,100,100,100,210.93196508351,1.60732693442967,210.680449651434,210.52957019099,211.411296379564,0.078724854,0.0102961380472607,0.0759721961,0.0816172574,0.002534334,0.00237404075,0.0027268588,0.293678758144024,4.25621698892098,1331.82,0.002534334,0.076080082,1,8,0,0,1,0,1,0,1
