dim,scenario,capTag,capSeconds,algorithm,runs,successRate,meanLength,stdLength,meanTime,meanFirstSol
3d,悬空,1,0.814563222,Informed-RRT*,30,100,279.515181465716,8.14287551777497,0.815014416666667,0.0108158866666667
3d,悬空,1,0.814563222,PRM*,30,100,275.796785012703,4.17061300934526,0.835885053333333,0.00071314
3d,悬空,1,0.814563222,FMT*,30,100,273.228259282439,5.46072597618024,0.816162003333333,0.01421872
3d,悬空,1,0.814563222,BIT*,30,100,267.739954442688,4.29462634162036,0.81727942,0.0401089
3d,悬空,1,0.814563222,RRT#,30,100,284.178860449773,6.61076625446377,0.815381266666667,0.0115624333333333
3d,悬空,1,0.814563222,APF-only,30,100,368.719651450309,5.78151716258171e-14,0.00396266,0.00382249
3d,悬空,1,0.814563222,AB-IRRT*,30,100,263.13239886361,0.360478006203379,0.81527701,0.00369445333333333
3d,悬空,2,1.629126444,RRT*,30,100,282.164231141366,5.3419489678331,1.62955553333333,0.01140419
3d,悬空,2,1.629126444,Informed-RRT*,30,100,270.557041065402,3.75378782441152,1.62965589333333,0.01180332
3d,悬空,2,1.629126444,PRM*,30,100,274.890789116303,3.67531221628404,1.68905749666667,0.00069137
3d,悬空,2,1.629126444,FMT*,30,100,273.228259282439,5.46072597618024,1.63059503,0.01466955
3d,悬空,2,1.629126444,BIT*,30,100,267.442148666075,3.81670848482874,1.63146578,0.04035375
3d,悬空,2,1.629126444,RRT#,30,100,278.302863895449,4.74717802317723,1.63018060666667,0.0121220933333333
3d,悬空,2,1.629126444,APF-only,30,100,368.719651450309,5.78151716258171e-14,0.00386649666666667,0.00371796
3d,悬空,2,1.629126444,AB-IRRT*,30,100,262.794465026375,0.172301875887445,1.62989551666667,0.00382309
3d,环廊,1,1.00159533,RRT*,30,100,187.819432665554,4.4811796606838,1.0020054,0.0121417866666667
3d,环廊,1,1.00159533,Informed-RRT*,30,100,177.193503306926,1.47311768861168,1.00209556333333,0.01344575
3d,环廊,1,1.00159533,PRM*,30,100,187.543486940864,3.44830137072455,1.01766589,0.00127159333333333
3d,环廊,1,1.00159533,FMT*,30,100,209.991086263561,14.5410673512886,1.00265566333333,0.0169095666666667
3d,环廊,1,1.00159533,BIT*,30,96.6666666666667,202.63034229642,16.2754623657362,1.00291502666667,0.0629341068965517
3d,环廊,1,1.00159533,RRT#,30,100,185.476246381025,2.39709489999275,1.00241185,0.01339296
3d,环廊,1,1.00159533,APF-only,30,100,235.942780406757,1.15630343251634e-13,0.00332946333333333,0.00319131333333333
3d,环廊,1,1.00159533,AB-IRRT*,30,100,174.284530781768,0.229464853767489,1.00258286333333,0.00412455666666667
3d,环廊,2,2.00319066,RRT*,30,100,183.740315353988,2.7959394601176,2.00368023,0.0123847366666667
3d,环廊,2,2.00319066,Informed-RRT*,30,100,174.917802058147,0.488097384164563,2.00374924666667,0.01357537
3d,环廊,2,2.00319066,PRM*,30,100,186.495322995563,2.81829811689583,2.04896799333333,0.00133229666666667
3d,环廊,2,2.00319066,FMT*,30,100,209.991086263561,14.5410673512886,2.00442236333333,0.0164412066666667
3d,环廊,2,2.00319066,BIT*,30,96.6666666666667,201.35897899604,15.7060723220078,2.00437351333333,0.0584366103448276
3d,环廊,2,2.00319066,RRT#,30,100,181.841520274731,2.27418584789059,2.00418444,0.01369955
3d,环廊,2,2.00319066,APF-only,30,100,235.942780406757,1.15630343251634e-13,0.00304850666666667,0.00291404333333333
3d,环廊,2,2.00319066,AB-IRRT*,30,100,174.078754216967,0.141664280116799,2.0040315,0.00421363333333333
3d,悬挑,1,0.784944336,RRT*,30,100,263.916226261513,4.67416714761028,0.785317066666667,0.00803084
3d,悬挑,1,0.784944336,Informed-RRT*,30,100,257.516071508134,3.2297510002225,0.785360523333334,0.00797917333333333
3d,悬挑,1,0.784944336,PRM*,30,100,261.78479000406,3.20087144487354,0.808811856666667,0.00062551
3d,悬挑,1,0.784944336,FMT*,30,100,258.984615433386,4.77559358268285,0.786015373333333,0.0130457766666667
3d,悬挑,1,0.784944336,BIT*,30,100,254.913511694846,3.00987410032616,0.787151636666667,0.0299572866666667
3d,悬挑,1,0.784944336,RRT#,30,100,262.479499104314,3.62718166158807,0.785806066666667,0.00833648333333333
