dim,scenario,algorithm,run,seed,success,length,time,firstSolutionTime,tPlanner,tShortcut,tPre,tOpt,nodes,iterations,turnSum,minClear,straightness,escapes,sideFlips,fallback
2d,一般,APF-only,22,20261925,1,229.358753,0.001646,0.001517,0.001646,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,22,20261925,1,208.506761,0.089746,0.001697,0.087622,0.000159,0.001697,0.087946,1372.0,2000.0,0.579910,0.010960,0.976691,1.0,5.0,0
2d,一般,APF-only,23,20261926,1,229.358753,0.001325,0.001226,0.001325,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,23,20261926,1,208.671310,0.090333,0.001386,0.088498,0.000188,0.001386,0.088852,1343.0,2000.0,0.625957,0.111722,0.975921,1.0,5.0,0
2d,一般,APF-only,24,20261927,1,229.358753,0.001620,0.001502,0.001620,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,24,20261927,1,208.610416,0.085006,0.001609,0.082840,0.000239,0.001609,0.083276,1343.0,2000.0,0.599569,0.016087,0.976206,1.0,5.0,0
2d,一般,APF-only,25,20261928,1,229.358753,0.002122,0.002001,0.002122,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,25,20261928,1,208.739988,0.080846,0.001982,0.078034,0.000449,0.001982,0.078739,1349.0,2000.0,0.623046,0.209665,0.975600,1.0,5.0,0
2d,一般,APF-only,26,20261929,1,229.358753,0.001164,0.001080,0.001164,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,26,20261929,1,209.037985,0.088805,0.003366,0.084914,0.000178,0.003366,0.085288,1309.0,2000.0,0.654961,0.253278,0.974209,1.0,5.0,0
2d,一般,APF-only,27,20261930,1,229.358753,0.001637,0.001513,0.001637,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,27,20261930,1,209.418785,0.086811,0.001469,0.084924,0.000154,0.001469,0.085238,1324.0,2000.0,0.676107,0.800949,0.972438,1.0,5.0,0
2d,一般,APF-only,28,20261931,1,229.358753,0.001421,0.001315,0.001421,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,28,20261931,1,208.941946,0.085709,0.002018,0.082888,0.000106,0.002018,0.083210,1357.0,2000.0,0.662379,0.036432,0.974657,1.0,5.0,0
2d,一般,APF-only,29,20261932,1,229.358753,0.001163,0.001065,0.001163,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,29,20261932,1,208.702989,0.084007,0.001171,0.082228,0.000301,0.001171,0.082747,1352.0,2000.0,0.616087,0.111592,0.975773,1.0,5.0,0
2d,一般,APF-only,30,20261933,1,229.358753,0.001235,0.001145,0.001235,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,30,20261933,1,208.739316,0.081265,0.001273,0.079596,0.000147,0.001273,0.079900,1363.0,2000.0,0.589559,0.101559,0.975603,1.0,5.0,0
2d,一般,APF-only,31,20261934,1,229.358753,0.001233,0.001135,0.001233,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,31,20261934,1,208.573424,0.087288,0.001411,0.085121,0.000439,0.001411,0.085764,1318.0,2000.0,0.607104,0.033371,0.976379,1.0,5.0,0
2d,一般,APF-only,32,20261935,1,229.358753,0.001808,0.001683,0.001808,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,32,20261935,1,208.869272,0.087952,0.001566,0.085908,0.000175,0.001566,0.086274,1371.0,2000.0,0.607319,0.023667,0.974996,1.0,5.0,0
2d,一般,APF-only,33,20261936,1,229.358753,0.001698,0.001518,0.001698,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,33,20261936,1,208.648127,0.073063,0.001395,0.071190,0.000184,0.001395,0.071559,1319.0,2000.0,0.596789,0.006866,0.976030,1.0,5.0,0
2d,一般,APF-only,34,20261937,1,229.358753,0.002518,0.002326,0.002518,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,34,20261937,1,208.454059,0.091667,0.001801,0.089420,0.000152,0.001801,0.089729,1377.0,2000.0,0.580017,0.033527,0.976938,1.0,5.0,0
2d,一般,APF-only,35,20261938,1,229.358753,0.002435,0.002275,0.002435,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,35,20261938,1,208.851150,0.090931,0.002355,0.088106,0.000156,0.002355,0.088450,1346.0,2000.0,0.602618,0.026911,0.975081,1.0,5.0,0
2d,一般,APF-only,36,20261939,1,229.358753,0.001813,0.001694,0.001813,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,36,20261939,1,209.185205,0.084103,0.001343,0.082282,0.000197,0.001343,0.082662,1334.0,2000.0,0.669511,0.613839,0.973524,1.0,5.0,0
2d,一般,APF-only,37,20261940,1,229.358753,0.002019,0.001885,0.002019,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,37,20261940,1,208.520832,0.083076,0.001476,0.081176,0.000155,0.001476,0.081501,1364.0,2000.0,0.607679,0.013699,0.976625,1.0,5.0,0
2d,一般,APF-only,38,20261941,1,229.358753,0.001121,0.001044,0.001121,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,38,20261941,1,208.466768,0.086743,0.001630,0.084765,0.000097,0.001630,0.085023,1338.0,2000.0,0.576614,0.210289,0.976879,1.0,5.0,0
2d,一般,APF-only,39,20261942,1,229.358753,0.001357,0.001258,0.001357,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,39,20261942,1,208.903701,0.083245,0.001362,0.081492,0.000136,0.001362,0.081785,1339.0,2000.0,0.606580,0.055162,0.974836,1.0,5.0,0
2d,一般,APF-only,40,20261943,1,229.358753,0.001344,0.001235,0.001344,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,40,20261943,1,208.733204,0.088113,0.001253,0.086430,0.000167,0.001253,0.086764,1334.0,2000.0,0.589942,0.086061,0.975632,1.0,5.0,0
2d,一般,APF-only,41,20261944,1,229.358753,0.001827,0.001648,0.001827,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,41,20261944,1,208.885909,0.086095,0.001272,0.084394,0.000167,0.001272,0.084726,1341.0,2000.0,0.602618,0.402781,0.974919,1.0,5.0,0
