dim,scenario,algorithm,run,firstLen
2d,一般,BIT*,30,215.245181049135
2d,一般,RRT#,30,245.832068895562
2d,一般,AB-IRRT*,30,229.358752665851
2d,一般,RRT*,31,216.521114918283
2d,一般,Informed-RRT*,31,216.521114918283
2d,一般,PRM*,31,237.727874814895
2d,一般,FMT*,31,233.080998733974
2d,一般,BIT*,31,230.040699972222
2d,一般,RRT#,31,215.685929958143
2d,一般,AB-IRRT*,31,229.358752665851
2d,一般,RRT*,32,231.535673359562
2d,一般,Informed-RRT*,32,231.535673359562
2d,一般,PRM*,32,296.714236370689
2d,一般,FMT*,32,237.875269255491
2d,一般,BIT*,32,225.905553164477
2d,一般,RRT#,32,225.977275780316
2d,一般,AB-IRRT*,32,229.358752665851
2d,一般,RRT*,33,216.545030696939
2d,一般,Informed-RRT*,33,216.545030696939
2d,一般,PRM*,33,296.994408585432
2d,一般,FMT*,33,235.489407590465
2d,一般,BIT*,33,212.844872221931
2d,一般,RRT#,33,216.545030696939
2d,一般,AB-IRRT*,33,229.358752665851
2d,一般,RRT*,34,222.670760232099
2d,一般,Informed-RRT*,34,222.670760232099
2d,一般,PRM*,34,342.002663211989
2d,一般,FMT*,34,272.159855001617
2d,一般,BIT*,34,226.836791005015
2d,一般,RRT#,34,216.285235393823
2d,一般,AB-IRRT*,34,229.358752665851
2d,一般,RRT*,35,219.573463148893
2d,一般,Informed-RRT*,35,219.573463148893
2d,一般,PRM*,35,236.115178003401
2d,一般,FMT*,35,289.009221733346
2d,一般,BIT*,35,216.935913818139
2d,一般,RRT#,35,218.011483618086
2d,一般,AB-IRRT*,35,229.358752665851
2d,一般,RRT*,36,214.591232982555
2d,一般,Informed-RRT*,36,214.591232982555
2d,一般,PRM*,36,288.939669518099
2d,一般,FMT*,36,225.601709042056
2d,一般,BIT*,36,223.785807664301
2d,一般,RRT#,36,214.591232982555
2d,一般,AB-IRRT*,36,229.358752665851
2d,一般,RRT*,37,219.983914607656
2d,一般,Informed-RRT*,37,219.983914607656
2d,一般,PRM*,37,279.746861832306
2d,一般,FMT*,37,234.773175996448
2d,一般,BIT*,37,220.196705759118
2d,一般,RRT#,37,216.613939108051
2d,一般,AB-IRRT*,37,229.358752665851
2d,一般,RRT*,38,219.149679173859
2d,一般,Informed-RRT*,38,219.149679173859
2d,一般,PRM*,38,237.257422422323
2d,一般,FMT*,38,218.796822720688
2d,一般,BIT*,38,216.455857748862
2d,一般,RRT#,38,218.617690127098
2d,一般,AB-IRRT*,38,229.358752665851
2d,一般,RRT*,39,213.040057927348
2d,一般,Informed-RRT*,39,213.040057927348
2d,一般,PRM*,39,247.2150113622
2d,一般,FMT*,39,224.806824153295
2d,一般,BIT*,39,222.210651338029
2d,一般,RRT#,39,213.028191511587
2d,一般,AB-IRRT*,39,229.358752665851
2d,一般,RRT*,40,214.620581194693
2d,一般,Informed-RRT*,40,214.620581194693
2d,一般,PRM*,40,279.726330681369
2d,一般,FMT*,40,229.404508049155
2d,一般,BIT*,40,213.777235152199
2d,一般,RRT#,40,213.703213971046
2d,一般,AB-IRRT*,40,229.358752665851
2d,一般,RRT*,41,218.912077269855
2d,一般,Informed-RRT*,41,218.912077269855
2d,一般,PRM*,41,223.901297404629
2d,一般,FMT*,41,222.648457291081
2d,一般,BIT*,41,243.113071298655
2d,一般,RRT#,41,218.008601850709
