dim,scenario,seed,margin,reactiveOK,fallback,kind,iters,escapes,sideFlips,cycles,time,length
2d,广阔,20261906,0,1,0,reactive,72,1,8,8,0.0019,305.468
2d,广阔,20261907,0,1,0,reactive,72,1,8,8,0.0018,305.468
2d,广阔,20261908,0,1,0,reactive,72,1,8,8,0.0018,305.468
2d,广阔,20261909,0,1,0,reactive,72,1,8,8,0.0018,305.468
2d,广阔,20261910,0,1,0,reactive,72,1,8,8,0.0018,305.468
2d,广阔,20261911,0,1,0,reactive,72,1,8,8,0.0028,305.468
2d,广阔,20261912,0,1,0,reactive,72,1,8,8,0.0075,305.468
2d,广阔,20261913,0,1,0,reactive,72,1,8,8,0.0071,305.468
2d,广阔,20261914,0,1,0,reactive,72,1,8,8,0.0067,305.468
2d,广阔,20261915,0,1,0,reactive,72,1,8,8,0.0069,305.468
2d,广阔,20261916,0,1,0,reactive,72,1,8,8,0.0021,305.468
2d,广阔,20261917,0,1,0,reactive,72,1,8,8,0.0018,305.468
2d,广阔,20261918,0,1,0,reactive,72,1,8,8,0.0018,305.468
2d,广阔,20261919,0,1,0,reactive,72,1,8,8,0.0018,305.468
2d,广阔,20261920,0,1,0,reactive,72,1,8,8,0.0018,305.468
3d,一般,20261901,0,1,0,reactive,118,5,11,11,0.1274,716.427
3d,一般,20261902,0,1,0,reactive,118,5,11,11,0.0473,716.427
3d,一般,20261903,0,1,0,reactive,118,5,11,11,0.0370,716.427
3d,一般,20261904,0,1,0,reactive,118,5,11,11,0.0176,716.427
3d,一般,20261905,0,1,0,reactive,118,5,11,11,0.0479,716.427
3d,一般,20261906,0,1,0,reactive,118,5,11,11,0.0166,716.427
3d,一般,20261907,0,1,0,reactive,118,5,11,11,0.0161,716.427
3d,一般,20261908,0,1,0,reactive,118,5,11,11,0.0191,716.427
3d,一般,20261909,0,1,0,reactive,118,5,11,11,0.0173,716.427
3d,一般,20261910,0,1,0,reactive,118,5,11,11,0.0148,716.427
3d,一般,20261911,0,1,0,reactive,118,5,11,11,0.0174,716.427
