variant,scenario,run,seed,success,length,time,firstSolutionTime,tPre,tOpt,nodes,turnSum,minClear,escapes,sideFlips,fallback
w/o seed shortcutting,一般,10,20261913,1,265.675370980489,0.4323147,0.0043044,0.0043044,0.4279064,4198,2.23474373736569,0.363081627313791,0,5,0
w/o ellipse seeding,一般,10,20261913,1,271.459598729111,0.5002261,0.005384,0.005384,0.494735,4298,5.03830827460594,0.500762832362609,0,5,0
w/o path-bias sampling,一般,10,20261913,1,264.752681341666,0.4296735,0.0046065,0.0046065,0.4249533,3947,1.98779723884755,0.89535298481478,0,5,0
w/o dynamic rewiring,一般,10,20261913,1,276.853248435528,0.5301008,0.0077099,0.0077099,0.5222261,4213,1.94771587565652,0.292802083782291,0,5,0
AB-IRRT* (full),一般,10,20261913,1,266.031044235061,0.4633413,0.0046045,0.0046045,0.458638,4084,3.10780686833878,0.191800064250636,0,5,0
APF-only,一般,11,20261914,1,442.385244950109,0.0046353,0.0045233,0.0046353,0,NaN,38.6413649792452,0.185991746715437,0,5,0
Informed-RRT*,一般,11,20261914,1,271.569648134979,0.5168358,0.0229114,0,0.5168358,4482,5.9385206606963,0.394870685314189,NaN,NaN,0
w/o seed shortcutting,一般,11,20261914,1,270.604640855952,0.4825487,0.0043726,0.0043726,0.4780648,4398,4.35308942350892,0.0916084731620685,0,5,0
w/o ellipse seeding,一般,11,20261914,1,273.536469244592,0.5322551,0.0048692,0.0048692,0.5272736,4417,5.94681023027789,0.576623782107091,0,5,0
w/o path-bias sampling,一般,11,20261914,1,272.216599736107,0.4470865,0.0066591,0.0066591,0.4402981,4308,5.5188592018408,0.465349582009244,0,5,0
w/o dynamic rewiring,一般,11,20261914,1,276.853248435528,0.5301926,0.0044187,0.0044187,0.5256773,4326,1.94771587565652,0.292802083782291,0,5,0
AB-IRRT* (full),一般,11,20261914,1,264.643324279045,0.465521,0.0048631,0.0048631,0.4605554,4080,2.65580031933907,0.101683690747294,0,5,0
APF-only,一般,12,20261915,1,442.385244950109,0.0062977,0.0061727,0.0062977,0,NaN,38.6413649792452,0.185991746715437,0,5,0
Informed-RRT*,一般,12,20261915,1,271.835213170203,0.5423732,0.0094472,0,0.5423732,4291,7.18740181167712,1.41118235956608,NaN,NaN,0
w/o seed shortcutting,一般,12,20261915,1,271.262819990871,0.4535672,0.0055446,0.0055446,0.4478888,4337,5.11448444288535,1.03457898023506,0,5,0
w/o ellipse seeding,一般,12,20261915,1,267.435709638888,0.4911393,0.0059686,0.0059686,0.4850579,4156,4.1891923230445,1.18718366987082,0,5,0
w/o path-bias sampling,一般,12,20261915,1,265.514460316827,0.4467178,0.0042472,0.0042472,0.4423262,4085,2.71804395290775,0.336964097858855,0,5,0
w/o dynamic rewiring,一般,12,20261915,1,276.853248435528,0.5290654,0.0062951,0.0062951,0.5226493,4225,1.94771587565652,0.292802083782291,0,5,0
AB-IRRT* (full),一般,12,20261915,1,266.706084801354,0.5188438,0.0091981,0.0091981,0.5094995,4045,2.43785727977096,0.280192759995043,0,5,0
APF-only,一般,13,20261916,1,442.385244950109,0.0039479,0.0038604,0.0039479,0,NaN,38.6413649792452,0.185991746715437,0,5,0
Informed-RRT*,一般,13,20261916,1,276.906734924488,0.5585745,0.0148781,0,0.5585745,4338,6.76033563563093,0.370546605510151,NaN,NaN,0
w/o seed shortcutting,一般,13,20261916,1,271.330073905945,0.5046756,0.0068014,0.0068014,0.4977448,4340,4.93227260053983,0.066586969362163,0,5,0
w/o ellipse seeding,一般,13,20261916,1,278.428558401069,0.501483,0.0058446,0.0058446,0.495527,4281,4.63538153006723,0.7092807557591,0,5,0
w/o path-bias sampling,一般,13,20261916,1,264.878777072129,0.5014001,0.0070218,0.0070218,0.4942478,4149,3.47594258991293,0.144312854988666,0,5,0
w/o dynamic rewiring,一般,13,20261916,1,276.853248435528,0.5495037,0.0055642,0.0055642,0.5438203,4216,1.94771587565652,0.292802083782291,0,5,0
AB-IRRT* (full),一般,13,20261916,1,265.158427930135,0.4837956,0.0041874,0.0041874,0.4794276,4052,2.18803072997621,0.298983139717508,0,5,0
