dim,scenario,capTag,capSeconds,algorithm,run,seed,success,length,time,firstSolutionTime
2d,一般,1,0.09042529,AB-IRRT*,16,20261919,1,208.889982784105,0.0908764,0.0014446
2d,一般,1,0.09042529,RRT*,17,20261920,1,216.846669521991,0.0906912,0.0118222
2d,一般,1,0.09042529,Informed-RRT*,17,20261920,1,212.503116709364,0.0908659,0.0130839
2d,一般,1,0.09042529,PRM*,17,20261920,1,211.37442737726,0.0921645,0.0069625
2d,一般,1,0.09042529,FMT*,17,20261920,1,217.195636288239,0.091118,0.0079582
2d,一般,1,0.09042529,BIT*,17,20261920,1,213.394574008532,0.0915208,0.0334803
2d,一般,1,0.09042529,RRT#,17,20261920,1,215.193622641605,0.0910818,0.0145347
2d,一般,1,0.09042529,APF-only,17,20261920,1,229.358752665851,0.0013107,0.001212
2d,一般,1,0.09042529,AB-IRRT*,17,20261920,1,209.017163064689,0.090965,0.0014271
2d,一般,1,0.09042529,RRT*,18,20261921,1,217.991072371034,0.090673,0.008028
2d,一般,1,0.09042529,Informed-RRT*,18,20261921,1,210.352058370061,0.0907458,0.0079181
2d,一般,1,0.09042529,PRM*,18,20261921,1,212.709172143678,0.0922427,0.0036385
2d,一般,1,0.09042529,FMT*,18,20261921,1,215.853806373164,0.0910204,0.0151192
2d,一般,1,0.09042529,BIT*,18,20261921,1,211.769682850058,0.0911044,0.0299911
2d,一般,1,0.09042529,RRT#,18,20261921,1,213.770552907437,0.0909218,0.0075771
2d,一般,1,0.09042529,APF-only,18,20261921,1,229.358752665851,0.0016964,0.0015913
2d,一般,1,0.09042529,AB-IRRT*,18,20261921,1,209.309763752885,0.0909855,0.0013898
2d,一般,1,0.09042529,RRT*,19,20261922,1,210.86273702066,0.0906978,0.0068207
2d,一般,1,0.09042529,Informed-RRT*,19,20261922,1,209.778469351908,0.090768,0.0095755
2d,一般,1,0.09042529,PRM*,19,20261922,1,213.013891913308,0.0930357,0.002352
2d,一般,1,0.09042529,FMT*,19,20261922,1,217.69581294489,0.0909279,0.0081163
2d,一般,1,0.09042529,BIT*,19,20261922,1,210.934179922341,0.091641,0.0236279
2d,一般,1,0.09042529,RRT#,19,20261922,1,210.318020324777,0.0909548,0.0083314
2d,一般,1,0.09042529,APF-only,19,20261922,1,229.358752665851,0.0016211,0.0015067
2d,一般,1,0.09042529,AB-IRRT*,19,20261922,1,209.441195812691,0.0910435,0.0014408
2d,一般,1,0.09042529,RRT*,20,20261923,1,210.430137183602,0.0907683,0.0050741
